,"Date","Minimum temperature (?C)","Maximum temperature (?C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (?C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (?C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-04-1,14.3,28.9,0,4.5,,,,,19.3,81,1,W,2,,,,,,,
,2016-04-2,14.3,31.2,0,4.0,,,,,18.6,73,8, ,Calm,,,,,,,
,2016-04-3,17.9,26.1,0,4.0,,,,,21.6,72,3,SSW,4,,,,,,,
,2016-04-4,18.2,24.8,0.4,2.6,,,,,19.6,83,8, ,Calm,,,,,,,
,2016-04-5,15.7,31.0,0.7,1.8,,,,,18.1,99,0, ,Calm,,,,,,,
,2016-04-6,16.8,35.7,0,3.6,,,,,27.1,44,1,NNW,17,,,,,,,
,2016-04-7,18.6,20.8,0,5.7,,,,,20.0,64,8,NW,13,,,,,,,
,2016-04-8,17.0,21.1,0,1.8,,,,,18.2,77,8,W,2,,,,,,,
,2016-04-9,14.4,26.2,0.9,0.7,,,,,19.8,73,0,W,2,,,,,,,
,2016-04-10,13.1,28.5,0,3.0,,,,,19.5,77,5,W,2,,,,,,,
,2016-04-11,11.1,,0,3.2,,,,,19.4,61,1,W,6,,,,,,,
,2016-04-12,17.2,22.6,0,3.6,,,,,20.1,72,8,NNW,7,,,,,,,
,2016-04-13,13.1,24.3,0,1.8,,,,,20.4,71,6,SW,2,,,,,,,
,2016-04-14,13.0,23.9,0.2,1.9,,,,,19.9,81,7,N,4,,,,,,,
,2016-04-15,14.1,27.9,0,1.6,,,,,21.3,71,4, ,Calm,,,,,,,
,2016-04-16,13.3,29.3,0,2.8,,,,,18.6,84,7,WSW,11,,,,,,,
,2016-04-17,17.8,22.6,0,3.8,,,,,19.3,80,7,SW,17,,,,,,,
,2016-04-18,14.6,24.6,0.2,1.0,,,,,20.4,73,2,WSW,7,,,,,,,
,2016-04-19,14.9,26.2,0.5,2.3,,,,,20.4,80,5,SW,6,,,,,,,
,2016-04-20,14.0,26.5,0,1.7,,,,,20.1,85,3,W,4,,,,,,,
,2016-04-21,14.8,28.5,0,2.1,,,,,17.9,100,1,S,2,,,,,,,
,2016-04-22,13.4,27.2,0,2.8,,,,,21.4,68,1,W,6,,,,,,,
,2016-04-23,14.8,19.6,0.8,2.4,,,,,18.2,69,7,W,20,,,,,,,
,2016-04-24,14.0,23.1,10.8,2.0,,,,,19.0,81,3,SW,7,,,,,,,
,2016-04-25,10.9,23.6,0.2,2.2,,,,,20.0,68,1,SSW,7,,,,,,,
,2016-04-26,10.7,25.1,0,2.5,,,,,17.0,81,2, ,Calm,,,,,,,
,2016-04-27,11.4,25.4,0,2.2,,,,,15.4,96,0,SW,4,,,,,,,
,2016-04-28,12.2,26.7,0,1.9,,,,,15.8,94,8,SW,2,,,,,,,
,2016-04-29,11.9,25.6,0,2.0,,,,,18.5,85,6,SSW,6,,,,,,,
,2016-04-30,17.0,26.0,0.4,0.8,,,,,18.9,90,7, ,Calm,,,,,,,
