,"Date","Minimum temperature (?C)","Maximum temperature (?C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (?C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (?C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-08-1,6.3,22.0,0,2.2,,,,,12.0,63,4,NNE,7,,,,,,,
,2015-08-2,7.9,24.5,0,1.2,,,,,12.0,78,6, ,Calm,,,,,,,
,2015-08-3,4.6,18.3,0,2.1,,,,,11.2,51,0,NE,26,,,,,,,
,2015-08-4,5.6,14.3,0,2.4,,,,,8.6,64,5,W,7,,,,,,,
,2015-08-5,1.8,14.8,0,1.7,,,,,7.9,55,6,NNE,19,,,,,,,
,2015-08-6,3.1,16.2,0,0.7,,,,,11.0,53,0,W,22,,,,,,,
,2015-08-7,1.6,17.3,0,2.3,,,,,9.4,69,0,SSW,11,,,,,,,
,2015-08-8,4.2,17.7,0,1.4,,,,,11.0,71,2,SW,4,,,,,,,
,2015-08-9,2.3,18.1,0,1.3,,,,,6.6,91,0,W,4,,,,,,,
,2015-08-10,5.8,20.3,0,1.5,,,,,11.4,69,0,NNW,20,,,,,,,
,2015-08-11,5.5,19.7,0,2.5,,,,,10.8,67,0,WSW,9,,,,,,,
,2015-08-12,5.2,16.7,0,2.1,,,,,11.5,59,1,NW,20,,,,,,,
,2015-08-13,4.7,18.3,0,1.7,,,,,12.2,61,0,WSW,20,,,,,,,
,2015-08-14,3.8,19.2,0,2.6,,,,,10.0,73,0,SW,4,,,,,,,
,2015-08-15,5.5,19.2,0,0.8,,,,,11.5,73,0,W,2,,,,,,,
,2015-08-16,7.8,20.8,0,1.4,,,,,12.7,86,2,W,6,,,,,,,
,2015-08-17,4.5,19.5,0,2.8,,,,,13.1,64,2,NNW,7,,,,,,,
,2015-08-18,8.2,17.2,0,2.4,,,,,12.2,53,0,SW,31,,,,,,,
,2015-08-19,6.4,17.7,0,,,,,,,,,,,,,,,,,
,2015-08-20,4.8,20.7,0,1.4,,,,,11.0,85,0,WSW,13,,,,,,,
,2015-08-21,5.9,23.4,0,1.8,,,,,11.2,87,0,SSW,9,,,,,,,
,2015-08-22,10.7,27.7,0,1.9,,,,,18.6,57,2,NW,2,,,,,,,
,2015-08-23,13.5,17.5,1.8,3.6,,,,,14.4,93,8,NNW,2,,,,,,,
,2015-08-24,13.5,16.2,4.5,1.2,,,,,14.2,97,8,WSW,7,,,,,,,
,2015-08-25,12.6,18.8,29.4,3.6,,,,,14.8,75,7,W,20,,,,,,,
,2015-08-26,11.8,20.5,7.1,1.6,,,,,15.5,89,7,SW,15,,,,,,,
,2015-08-27,9.5,20.5,1.6,1.1,,,,,14.0,94,5,SW,7,,,,,,,
,2015-08-28,6.8,20.0,0,1.1,,,,,13.1,60,5,SW,6,,,,,,,
,2015-08-29,5.8,19.7,0,1.5,,,,,9.5,93,1, ,Calm,,,,,,,
,2015-08-30,4.6,19.3,0,1.9,,,,,11.5,70,1,E,6,,,,,,,
,2015-08-31,6.7,19.9,0,2.4,,,,,13.9,58,0,SW,11,,,,,,,
