"Date","VINEYARD PM10 24h average [µg/m³]"
01/05/2015,8.8
02/05/2015,10.4
03/05/2015,9.6
04/05/2015,15.3
05/05/2015,16.5
06/05/2015,59.0
07/05/2015,15.6
08/05/2015,16.9
09/05/2015,13.2
10/05/2015,10.9
11/05/2015,8.8
12/05/2015,11.8
13/05/2015,10.5
14/05/2015,11.0
15/05/2015,15.0
16/05/2015,14.1
17/05/2015,19.3
18/05/2015,21.4
19/05/2015,9.9
20/05/2015,8.0
21/05/2015,9.0
22/05/2015,6.4
23/05/2015,13.4
24/05/2015,22.2
25/05/2015,21.4
26/05/2015,19.4
27/05/2015,21.6
28/05/2015,17.2
29/05/2015,14.2
30/05/2015,21.4
31/05/2015,14.2
01/06/2015,6.5
02/06/2015,15.7
03/06/2015,18.0
04/06/2015,13.4
05/06/2015,14.0
06/06/2015,24.5
07/06/2015,22.4
08/06/2015,7.7
09/06/2015,13.8
10/06/2015,17.5
11/06/2015,19.7
12/06/2015,17.0
13/06/2015,17.9
14/06/2015,21.4
15/06/2015,23.1
16/06/2015,8.2
17/06/2015,4.7
18/06/2015,8.0
19/06/2015,6.9
20/06/2015,13.7
21/06/2015,15.8
22/06/2015,12.1
23/06/2015,12.4
24/06/2015,14.7
25/06/2015,17.2
26/06/2015,13.5
27/06/2015,17.6
28/06/2015,21.1
29/06/2015,--
30/06/2015,--
01/07/2015,--
02/07/2015,9.1
03/07/2015,18.2
04/07/2015,22.0
05/07/2015,28.2
06/07/2015,19.4
07/07/2015,16.8
08/07/2015,21.5
09/07/2015,16.9
10/07/2015,14.9
11/07/2015,8.3
12/07/2015,2.4
13/07/2015,4.0
14/07/2015,5.7
15/07/2015,11.7
16/07/2015,10.6
17/07/2015,4.7
18/07/2015,9.4
19/07/2015,13.8
20/07/2015,17.4
21/07/2015,12.9
22/07/2015,11.1
23/07/2015,12.6
24/07/2015,8.7
25/07/2015,6.0
26/07/2015,6.1
27/07/2015,11.7
28/07/2015,15.7
29/07/2015,18.8
30/07/2015,12.7
31/07/2015,14.8
01/08/2015,13.1
02/08/2015,12.9
03/08/2015,8.6
04/08/2015,12.1
05/08/2015,9.7
06/08/2015,10.6
07/08/2015,14.0
08/08/2015,19.0
09/08/2015,23.8
10/08/2015,10.2
11/08/2015,12.4
12/08/2015,10.5
13/08/2015,8.5
14/08/2015,16.5
15/08/2015,19.4
16/08/2015,21.0
17/08/2015,9.5
18/08/2015,14.3
19/08/2015,36.4
20/08/2015,22.7
21/08/2015,23.4
22/08/2015,18.7
23/08/2015,13.5
24/08/2015,8.0
25/08/2015,2.1
26/08/2015,6.6
27/08/2015,3.4
28/08/2015,8.5
29/08/2015,8.3
30/08/2015,11.4
31/08/2015,13.2
01/09/2015,16.4
02/09/2015,--
03/09/2015,--
04/09/2015,--
05/09/2015,--
06/09/2015,--
07/09/2015,--
08/09/2015,5.9
09/09/2015,11.2
10/09/2015,17.1
11/09/2015,15.4
12/09/2015,18.6
13/09/2015,22.2
14/09/2015,20.2
15/09/2015,17.1
16/09/2015,17.4
17/09/2015,16.6
18/09/2015,13.1
19/09/2015,11.5
20/09/2015,13.2
21/09/2015,10.0
22/09/2015,12.1
23/09/2015,11.5
24/09/2015,10.0
25/09/2015,11.8
26/09/2015,7.3
27/09/2015,9.1
28/09/2015,16.6
29/09/2015,16.6
30/09/2015,29.2
01/10/2015,27.2
02/10/2015,19.9
03/10/2015,15.4
04/10/2015,19.7
05/10/2015,21.7
06/10/2015,24.1
07/10/2015,38.0
08/10/2015,28.9
09/10/2015,30.5
10/10/2015,
11/10/2015,
12/10/2015,--
13/10/2015,15.1
14/10/2015,14.6
15/10/2015,19.8
16/10/2015,19.7
17/10/2015,38.1
18/10/2015,25.9
19/10/2015,22.0
20/10/2015,20.7
21/10/2015,18.2
22/10/2015,8.1
23/10/2015,16.2
24/10/2015,13.1
25/10/2015,16.3
26/10/2015,25.4
27/10/2015,14.6
28/10/2015,14.8
29/10/2015,17.9
30/10/2015,16.7
31/10/2015,17.1
01/11/2015,13.5
02/11/2015,11.1
03/11/2015,10.5
04/11/2015,7.1
05/11/2015,9.4
06/11/2015,9.8
07/11/2015,14.0
08/11/2015,13.8
09/11/2015,14.9
10/11/2015,18.0
11/11/2015,24.2
12/11/2015,11.5
13/11/2015,11.8
14/11/2015,10.8
15/11/2015,11.1
16/11/2015,12.0
17/11/2015,13.9
18/11/2015,22.8
19/11/2015,--
20/11/2015,33.4
21/11/2015,25.6
22/11/2015,22.7
23/11/2015,30.9
24/11/2015,27.4
25/11/2015,25.2
26/11/2015,40.8
27/11/2015,39.4
28/11/2015,29.4
29/11/2015,22.9
30/11/2015,20.1
01/12/2015,19.3
02/12/2015,28.4
03/12/2015,25.9
04/12/2015,17.4
05/12/2015,17.3
06/12/2015,17.0
07/12/2015,15.3
08/12/2015,24.1
09/12/2015,16.1
10/12/2015,25.5
11/12/2015,31.9
12/12/2015,35.5
13/12/2015,27.8
14/12/2015,34.4
15/12/2015,37.0
16/12/2015,13.2
17/12/2015,13.3
18/12/2015,16.5
19/12/2015,21.8
20/12/2015,32.8
21/12/2015,24.2
22/12/2015,9.5
23/12/2015,17.6
24/12/2015,15.7
25/12/2015,12.6
26/12/2015,10.7
27/12/2015,17.3
28/12/2015,12.8
29/12/2015,11.7
30/12/2015,11.3
31/12/2015,16.8
01/01/2016,16.2
02/01/2016,17.1
03/01/2016,14.1
04/01/2016,12.4
05/01/2016,10.0
06/01/2016,8.3
07/01/2016,12.0
08/01/2016,17.6
09/01/2016,23.4
10/01/2016,21.0
11/01/2016,18.1
12/01/2016,27.5
13/01/2016,27.3
14/01/2016,21.6
15/01/2016,9.9
16/01/2016,10.8
17/01/2016,10.0
18/01/2016,10.0
19/01/2016,16.9
20/01/2016,23.4
21/01/2016,24.2
22/01/2016,10.2
23/01/2016,11.3
24/01/2016,27.6
25/01/2016,30.8
26/01/2016,12.6
27/01/2016,15.2
28/01/2016,13.8
29/01/2016,15.3
30/01/2016,13.8
31/01/2016,14.6
01/02/2016,16.5
02/02/2016,12.9
03/02/2016,17.8
04/02/2016,17.0
05/02/2016,21.5
06/02/2016,18.7
07/02/2016,19.2
08/02/2016,15.8
09/02/2016,23.4
10/02/2016,17.8
11/02/2016,16.9
12/02/2016,14.8
13/02/2016,13.4
14/02/2016,24.9
15/02/2016,31.1
16/02/2016,25.1
17/02/2016,22.5
18/02/2016,29.1
19/02/2016,29.0
20/02/2016,25.2
21/02/2016,13.5
22/02/2016,15.6
23/02/2016,17.2
24/02/2016,22.1
25/02/2016,24.1
26/02/2016,34.7
27/02/2016,24.7
28/02/2016,16.8
29/02/2016,19.2
01/03/2016,12.4
02/03/2016,16.4
03/03/2016,18.2
04/03/2016,18.4
05/03/2016,16.2
06/03/2016,15.5
07/03/2016,19.3
08/03/2016,32.4
09/03/2016,16.0
10/03/2016,32.7
11/03/2016,25.2
12/03/2016,16.3
13/03/2016,14.4
14/03/2016,23.4
15/03/2016,14.4
16/03/2016,10.7
17/03/2016,11.7
18/03/2016,12.9
19/03/2016,12.8
20/03/2016,13.1
21/03/2016,7.6
22/03/2016,8.9
23/03/2016,16.3
24/03/2016,18.6
25/03/2016,24.0
26/03/2016,22.2
27/03/2016,16.4
28/03/2016,19.1
29/03/2016,21.3
30/03/2016,17.0
31/03/2016,18.1
01/04/2016,22.0
02/04/2016,27.2
03/04/2016,27.8
04/04/2016,19.6
05/04/2016,22.2
06/04/2016,28.3
07/04/2016,30.4
08/04/2016,29.5
09/04/2016,21.4
10/04/2016,29.7
11/04/2016,41.6
12/04/2016,22.4
13/04/2016,16.7
14/04/2016,12.9
15/04/2016,13.5
16/04/2016,31.8
17/04/2016,17.1
18/04/2016,13.7
19/04/2016,12.6
20/04/2016,14.1
21/04/2016,15.2
22/04/2016,16.9
23/04/2016,12.5
24/04/2016,16.3
25/04/2016,18.6
26/04/2016,16.7
27/04/2016,10.1
28/04/2016,14.7
29/04/2016,35.8
30/04/2016,25.5
