,"Date","Minimum temperature (?C)","Maximum temperature (?C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (?C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (?C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-12-1,16.2,39.2,0,6.5,,,,,23.0,68,0,SW,4,,,,,,,
,2015-12-2,18.6,23.9,0.4,8.4,,,,,20.2,75,8,SSW,7,,,,,,,
,2015-12-3,14.6,22.3,0,4.9,,,,,18.0,71,8,SW,4,,,,,,,
,2015-12-4,11.2,25.1,0,4.8,,,,,19.8,65,6,SW,4,,,,,,,
,2015-12-5,12.0,28.9,0,3.3,,,,,20.0,68,0, ,Calm,,,,,,,
,2015-12-6,14.2,30.1,0,5.8,,,,,21.7,72,1, ,Calm,,,,,,,
,2015-12-7,16.3,27.7,0,7.2,,,,,21.7,76,4,E,4,,,,,,,
,2015-12-8,18.1,27.4,0,5.7,,,,,22.3,73,8, ,Calm,,,,,,,
,2015-12-9,20.8,35.2,3.6,2.9,,,,,23.6,78,7,N,11,,,,,,,
,2015-12-10,20.6,28.8,0.3,7.0,,,,,21.8,79,8, ,Calm,,,,,,,
,2015-12-11,18.7,34.6,0,5.3,,,,,23.3,80,1,SW,4,,,,,,,
,2015-12-12,16.4,23.8,0,11.0,,,,,21.4,62,7,WSW,6,,,,,,,
,2015-12-13,17.4,26.2,0,4.2,,,,,20.2,68,8,NNE,7,,,,,,,
,2015-12-14,15.0,34.2,0,4.0,,,,,22.0,71,1, ,Calm,,,,,,,
,2015-12-15,15.9,31.0,0,6.4,,,,,22.4,79,6,W,15,,,,,,,
,2015-12-16,20.0,24.0,3.7,2.7,,,,,21.9,87,8,SSW,2,,,,,,,
,2015-12-17,14.5,29.1,0,1.6,,,,,20.7,78,8,WSW,7,,,,,,,
,2015-12-18,15.9,35.2,0,5.0,,,,,23.4,71,0,SW,7,,,,,,,
,2015-12-19,17.7,36.9,0,6.9,,,,,25.8,65,0,S,2,,,,,,,
,2015-12-20,16.0,40.4,0,8.7,,,,,24.0,61,0,WSW,2,,,,,,,
,2015-12-21,24.1,30.7,0,10.6,,,,,27.9,51,5,NW,6,,,,,,,
,2015-12-22,16.4,21.2,24.8,5.0,,,,,16.4,85,8,SW,6,,,,,,,
,2015-12-23,15.8,23.1,26.0,3.0,,,,,20.6,73,3,NW,4,,,,,,,
,2015-12-24,14.3,25.4,0,2.3,,,,,21.3,69,4,N,2,,,,,,,
,2015-12-25,14.2,25.6,0,5.5,,,,,21.6,69,2,WNW,7,,,,,,,
,2015-12-26,16.3,30.5,0,3.4,,,,,21.7,73,5,NNW,19,,,,,,,
,2015-12-27,15.4,22.7,6.4,3.8,,,,,17.3,73,8,SSW,35,,,,,,,
,2015-12-28,14.8,22.4,1.0,4.6,,,,,17.1,77,7,SSW,17,,,,,,,
,2015-12-29,14.3,25.3,0,3.2,,,,,20.2,62,2,SSW,19,,,,,,,
,2015-12-30,11.7,27.1,0,5.8,,,,,19.1,71,0,W,4,,,,,,,
,2015-12-31,14.5,29.5,0,6.4,,,,,20.9,73,1,S,4,,,,,,,
