,"Date","Minimum temperature (?C)","Maximum temperature (?C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (?C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (?C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-02-1,18.8,26.2,0,5.2,,,,,21.0,76,8, ,Calm,,,,,,,
,2016-02-2,14.8,28.2,0.3,2.5,,,,,19.4,79,0,SW,6,,,,,,,
,2016-02-3,16.5,32.3,0,5.2,,,,,22.2,83,7,W,4,,,,,,,
,2016-02-4,18.3,24.6,3.2,6.0,,,,,19.8,92,8,S,4,,,,,,,
,2016-02-5,18.4,24.8,0.6,4.6,,,,,19.1,81,8,W,20,,,,,,,
,2016-02-6,17.3,26.4,1.0,4.4,,,,,18.9,92,8,NE,6,,,,,,,
,2016-02-7,16.6,27.6,0.2,3.4,,,,,21.6,80,5,SW,7,,,,,,,
,2016-02-8,17.1,29.7,0,4.0,,,,,22.0,77,0,S,4,,,,,,,
,2016-02-9,18.3,27.2,0,6.4,,,,,22.9,79,4,SW,4,,,,,,,
,2016-02-10,16.6,31.7,0,5.6,,,,,21.9,83,0, ,Calm,,,,,,,
,2016-02-11,17.0,29.2,0,5.2,,,,,22.2,81,2,SW,4,,,,,,,
,2016-02-12,18.7,31.4,0,4.6,,,,,23.6,81,1,SSW,4,,,,,,,
,2016-02-13,19.0,33.3,0,6.6,,,,,24.5,71,1,N,4,,,,,,,
,2016-02-14,18.5,37.0,0,6.4,,,,,25.0,69,1,NW,4,,,,,,,
,2016-02-15,22.0,31.5,0,4.6,,,,,24.0,78,7, ,Calm,,,,,,,
,2016-02-16,17.0,28.0,0,5.6,,,,,25.5,38,1,SW,4,,,,,,,
,2016-02-17,18.0,26.2,0,5.6,,,,,19.6,69,6, ,Calm,,,,,,,
,2016-02-18,14.8,29.0,0,4.6,,,,,21.2,67,5,SSW,4,,,,,,,
,2016-02-19,18.0,34.4,0,4.0,,,,,22.6,78,8,WNW,7,,,,,,,
,2016-02-20,22.5,28.7,0,5.5,,,,,23.2,72,8,SW,15,,,,,,,
,2016-02-21,20.3,28.5,12.2,5.1,,,,,21.9,90,6, ,Calm,,,,,,,
,2016-02-22,18.8,32.0,0,4.0,,,,,22.9,89,1, ,Calm,,,,,,,
,2016-02-23,18.2,33.2,0,4.9,,,,,22.2,86,0, ,Calm,,,,,,,
,2016-02-24,17.7,36.2,0,6.0,,,,,23.2,80,0, ,Calm,,,,,,,
,2016-02-25,21.2,41.0,0,5.6,,,,,23.7,82,0,SW,4,,,,,,,
,2016-02-26,22.9,27.4,0,6.6,,,,,24.6,67,8,S,11,,,,,,,
,2016-02-27,19.2,28.0,0,3.4,,,,,25.3,66,7,SSW,4,,,,,,,
,2016-02-28,17.4,29.2,0,6.2,,,,,22.4,78,0, ,Calm,,,,,,,
,2016-02-29,17.5,27.8,0,4.0,,,,,23.2,75,5,SE,6,,,,,,,
