"Date","Time","PROSPECT AQI hourly AQI [index]"
01/04/2015,01:00,29
01/04/2015,02:00,28
01/04/2015,03:00,28
01/04/2015,04:00,28
01/04/2015,05:00,26
01/04/2015,06:00,26
01/04/2015,07:00,25
01/04/2015,08:00,31
01/04/2015,09:00,54
01/04/2015,10:00,35
01/04/2015,11:00,23
01/04/2015,12:00,22
01/04/2015,13:00,23
01/04/2015,14:00,30
01/04/2015,15:00,32
01/04/2015,16:00,36
01/04/2015,17:00,38
01/04/2015,18:00,37
01/04/2015,19:00,31
01/04/2015,20:00,26
01/04/2015,21:00,22
01/04/2015,22:00,21
01/04/2015,23:00,21
01/04/2015,24:00,22
02/04/2015,01:00,22
02/04/2015,02:00,21
02/04/2015,03:00,22
02/04/2015,04:00,22
02/04/2015,05:00,23
02/04/2015,06:00,24
02/04/2015,07:00,24
02/04/2015,08:00,24
02/04/2015,09:00,23
02/04/2015,10:00,22
02/04/2015,11:00,23
02/04/2015,12:00,27
02/04/2015,13:00,36
02/04/2015,14:00,38
02/04/2015,15:00,44
02/04/2015,16:00,46
02/04/2015,17:00,44
02/04/2015,18:00,36
02/04/2015,19:00,30
02/04/2015,20:00,25
02/04/2015,21:00,26
02/04/2015,22:00,26
02/04/2015,23:00,26
02/04/2015,24:00,28
03/04/2015,01:00,30
03/04/2015,02:00,32
03/04/2015,03:00,34
03/04/2015,04:00,36
03/04/2015,05:00,37
03/04/2015,06:00,38
03/04/2015,07:00,40
03/04/2015,08:00,41
03/04/2015,09:00,42
03/04/2015,10:00,42
03/04/2015,11:00,42
03/04/2015,12:00,43
03/04/2015,13:00,43
03/04/2015,14:00,43
03/04/2015,15:00,43
03/04/2015,16:00,43
03/04/2015,17:00,42
03/04/2015,18:00,42
03/04/2015,19:00,41
03/04/2015,20:00,41
03/04/2015,21:00,41
03/04/2015,22:00,41
03/04/2015,23:00,39
03/04/2015,24:00,37
04/04/2015,01:00,34
04/04/2015,02:00,32
04/04/2015,03:00,30
04/04/2015,04:00,28
04/04/2015,05:00,26
04/04/2015,06:00,24
04/04/2015,07:00,24
04/04/2015,08:00,23
04/04/2015,09:00,23
04/04/2015,10:00,23
04/04/2015,11:00,24
04/04/2015,12:00,25
04/04/2015,13:00,25
04/04/2015,14:00,25
04/04/2015,15:00,26
04/04/2015,16:00,26
04/04/2015,17:00,25
04/04/2015,18:00,25
04/04/2015,19:00,24
04/04/2015,20:00,24
04/04/2015,21:00,24
04/04/2015,22:00,23
04/04/2015,23:00,24
04/04/2015,24:00,24
05/04/2015,01:00,24
05/04/2015,02:00,26
05/04/2015,03:00,25
05/04/2015,04:00,24
05/04/2015,05:00,23
05/04/2015,06:00,23
05/04/2015,07:00,22
05/04/2015,08:00,22
05/04/2015,09:00,23
05/04/2015,10:00,26
05/04/2015,11:00,29
05/04/2015,12:00,32
05/04/2015,13:00,35
05/04/2015,14:00,36
05/04/2015,15:00,37
05/04/2015,16:00,37
05/04/2015,17:00,39
05/04/2015,18:00,38
05/04/2015,19:00,34
05/04/2015,20:00,28
05/04/2015,21:00,20
05/04/2015,22:00,19
05/04/2015,23:00,20
05/04/2015,24:00,21
06/04/2015,01:00,21
06/04/2015,02:00,22
06/04/2015,03:00,22
06/04/2015,04:00,22
06/04/2015,05:00,22
06/04/2015,06:00,22
06/04/2015,07:00,21
06/04/2015,08:00,21
06/04/2015,09:00,21
06/04/2015,10:00,21
06/04/2015,11:00,25
06/04/2015,12:00,35
06/04/2015,13:00,38
06/04/2015,14:00,42
06/04/2015,15:00,43
06/04/2015,16:00,41
06/04/2015,17:00,37
06/04/2015,18:00,33
06/04/2015,19:00,28
06/04/2015,20:00,25
06/04/2015,21:00,25
06/04/2015,22:00,24
06/04/2015,23:00,26
06/04/2015,24:00,26
07/04/2015,01:00,26
07/04/2015,02:00,26
07/04/2015,03:00,23
07/04/2015,04:00,17
07/04/2015,05:00,16
07/04/2015,06:00,17
07/04/2015,07:00,17
07/04/2015,08:00,17
07/04/2015,09:00,17
07/04/2015,10:00,18
07/04/2015,11:00,17
07/04/2015,12:00,28
07/04/2015,13:00,28
07/04/2015,14:00,30
07/04/2015,15:00,33
07/04/2015,16:00,33
07/04/2015,17:00,31
07/04/2015,18:00,31
07/04/2015,19:00,30
07/04/2015,20:00,28
07/04/2015,21:00,28
07/04/2015,22:00,28
07/04/2015,23:00,27
07/04/2015,24:00,27
08/04/2015,01:00,27
08/04/2015,02:00,29
08/04/2015,03:00,30
08/04/2015,04:00,30
