"Date","Time","RANDWICK AQI hourly AQI [index]"
01/04/2015,01:00,21
01/04/2015,02:00,21
01/04/2015,03:00,21
01/04/2015,04:00,21
01/04/2015,05:00,21
01/04/2015,06:00,21
01/04/2015,07:00,21
01/04/2015,08:00,23
01/04/2015,09:00,23
01/04/2015,10:00,20
01/04/2015,11:00,25
01/04/2015,12:00,29
01/04/2015,13:00,32
01/04/2015,14:00,36
01/04/2015,15:00,37
01/04/2015,16:00,37
01/04/2015,17:00,35
01/04/2015,18:00,33
01/04/2015,19:00,30
01/04/2015,20:00,28
01/04/2015,21:00,28
01/04/2015,22:00,28
01/04/2015,23:00,27
01/04/2015,24:00,28
02/04/2015,01:00,28
02/04/2015,02:00,28
02/04/2015,03:00,28
02/04/2015,04:00,28
02/04/2015,05:00,28
02/04/2015,06:00,28
02/04/2015,07:00,29
02/04/2015,08:00,30
02/04/2015,09:00,30
02/04/2015,10:00,31
02/04/2015,11:00,32
02/04/2015,12:00,33
02/04/2015,13:00,34
02/04/2015,14:00,36
02/04/2015,15:00,37
02/04/2015,16:00,39
02/04/2015,17:00,41
02/04/2015,18:00,41
02/04/2015,19:00,39
02/04/2015,20:00,40
02/04/2015,21:00,41
02/04/2015,22:00,41
02/04/2015,23:00,42
02/04/2015,24:00,44
03/04/2015,01:00,46
03/04/2015,02:00,48
03/04/2015,03:00,50
03/04/2015,04:00,51
03/04/2015,05:00,52
03/04/2015,06:00,53
03/04/2015,07:00,52
03/04/2015,08:00,51
03/04/2015,09:00,51
03/04/2015,10:00,51
03/04/2015,11:00,51
03/04/2015,12:00,50
03/04/2015,13:00,49
03/04/2015,14:00,48
03/04/2015,15:00,48
03/04/2015,16:00,47
03/04/2015,17:00,46
03/04/2015,18:00,46
03/04/2015,19:00,45
03/04/2015,20:00,43
03/04/2015,21:00,41
03/04/2015,22:00,41
03/04/2015,23:00,40
03/04/2015,24:00,39
04/04/2015,01:00,38
04/04/2015,02:00,37
04/04/2015,03:00,35
04/04/2015,04:00,35
04/04/2015,05:00,34
04/04/2015,06:00,34
04/04/2015,07:00,34
04/04/2015,08:00,34
04/04/2015,09:00,34
04/04/2015,10:00,34
04/04/2015,11:00,34
04/04/2015,12:00,34
04/04/2015,13:00,34
04/04/2015,14:00,34
04/04/2015,15:00,35
04/04/2015,16:00,34
04/04/2015,17:00,34
04/04/2015,18:00,33
04/04/2015,19:00,32
04/04/2015,20:00,32
04/04/2015,21:00,32
04/04/2015,22:00,33
04/04/2015,23:00,34
04/04/2015,24:00,36
05/04/2015,01:00,36
05/04/2015,02:00,35
05/04/2015,03:00,29
05/04/2015,04:00,26
05/04/2015,05:00,25
05/04/2015,06:00,24
05/04/2015,07:00,24
05/04/2015,08:00,23
05/04/2015,09:00,23
05/04/2015,10:00,23
05/04/2015,11:00,28
05/04/2015,12:00,31
05/04/2015,13:00,35
05/04/2015,14:00,37
05/04/2015,15:00,38
05/04/2015,16:00,39
05/04/2015,17:00,38
05/04/2015,18:00,37
05/04/2015,19:00,35
05/04/2015,20:00,31
05/04/2015,21:00,28
05/04/2015,22:00,27
05/04/2015,23:00,27
05/04/2015,24:00,27
06/04/2015,01:00,28
06/04/2015,02:00,28
06/04/2015,03:00,29
06/04/2015,04:00,29
06/04/2015,05:00,29
06/04/2015,06:00,29
06/04/2015,07:00,30
06/04/2015,08:00,30
06/04/2015,09:00,30
06/04/2015,10:00,30
06/04/2015,11:00,30
06/04/2015,12:00,31
06/04/2015,13:00,38
06/04/2015,14:00,39
06/04/2015,15:00,42
06/04/2015,16:00,42
06/04/2015,17:00,37
06/04/2015,18:00,30
06/04/2015,19:00,31
06/04/2015,20:00,29
06/04/2015,21:00,28
06/04/2015,22:00,27
06/04/2015,23:00,30
06/04/2015,24:00,28
07/04/2015,01:00,26
07/04/2015,02:00,25
07/04/2015,03:00,24
07/04/2015,04:00,24
