,"Date","Minimum temperature (?C)","Maximum temperature (?C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (?C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (?C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-01-1,15.0,29.0,0,5.8,,,,,23.8,60,2,WSW,7,,,,,,,
,2016-01-2,15.5,26.1,0,6.6,,,,,23.0,67,5,WSW,9,,,,,,,
,2016-01-3,18.2,24.0,0,5.8,,,,,22.0,66,8,ESE,11,,,,,,,
,2016-01-4,17.7,23.0,42.7,4.9,,,,,18.8,98,8, ,Calm,,,,,,,
,2016-01-5,16.8,19.2,32.0,4.8,,,,,16.7,96,8,WSW,7,,,,,,,
,2016-01-6,16.3,19.7,59.8,,,,,,16.7,99,8,W,4,,,,,,,
,2016-01-7,15.8,23.8,19.0,1.4,,,,,19.2,73,7,SW,19,,,,,,,
,2016-01-8,12.8,28.6,,2.9,,,,,,,,,,,,,,,,
,2016-01-9,16.6,28.5,0,7.2,,,,,21.2,75,6, ,Calm,,,,,,,
,2016-01-10,16.0,31.3,0,4.0,,,,,22.4,74,1, ,Calm,,,,,,,
,2016-01-11,17.9,37.7,0,6.2,,,,,24.0,78,0,WSW,7,,,,,,,
,2016-01-12,21.2,33.5,0,5.5,,,,,27.7,60,5, ,Calm,,,,,,,
,2016-01-13,18.2,32.0,0,5.3,,,,,23.5,71,4,NE,4,,,,,,,
,2016-01-14,21.0,40.0,0,5.7,,,,,29.3,60,1, ,Calm,,,,,,,
,2016-01-15,12.7,21.3,38.2,6.4,,,,,13.5,97,8,SSE,7,,,,,,,
,2016-01-16,13.4,23.2,2.8,3.6,,,,,18.0,81,7,SW,19,,,,,,,
,2016-01-17,14.6,25.0,1.5,3.1,,,,,20.8,70,2,W,9,,,,,,,
,2016-01-18,14.0,29.2,0,4.2,,,,,21.2,72,3,SW,4,,,,,,,
,2016-01-19,16.1,35.9,0,5.1,,,,,23.0,76,1,N,6,,,,,,,
,2016-01-20,19.4,38.7,0,6.8,,,,,27.3,48,0,NNW,4,,,,,,,
,2016-01-21,22.0,38.4,0,7.3,,,,,27.0,61,1,SW,2,,,,,,,
,2016-01-22,22.3,28.0,31.4,8.7,,,,,23.9,91,8,NNW,6,,,,,,,
,2016-01-23,21.1,26.7,12.7,2.8,,,,,25.9,61,3,SW,13,,,,,,,
,2016-01-24,19.5,25.0,0.4,4.1,,,,,20.0,91,8,SW,6,,,,,,,
,2016-01-25,20.0,24.0,0,2.2,,,,,21.5,89,8, ,Calm,,,,,,,
,2016-01-26,19.9,28.7,9.0,,,,,,23.5,77,7,NNE,7,,,,,,,
,2016-01-27,19.2,24.7,0,5.6,,,,,22.7,72,8,NE,9,,,,,,,
,2016-01-28,20.2,32.2,0,1.6,,,,,22.5,73,7,NE,9,,,,,,,
,2016-01-29,20.0,29.3,2.2,4.8,,,,,25.2,83,5,NW,4,,,,,,,
,2016-01-30,18.5,28.9,35.1,8.2,,,,,22.7,81,4,SE,11,,,,,,,
,2016-01-31,17.8,29.7,29.0,6.0,,,,,21.9,87,2, ,Calm,,,,,,,
