,"Date","Minimum temperature (?C)","Maximum temperature (?C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (?C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (?C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-07-1,7.8,15.8,4.6,0.6,,,,,10.1,83,4,SSW,31,,,,,,,
,2015-07-2,2.6,15.4,0,1.4,,,,,6.9,79,7,WSW,15,,,,,,,
,2015-07-3,5.6,15.2,0,1.3,,,,,9.5,58,0,W,2,,,,,,,
,2015-07-4,1.3,15.2,0,1.1,,,,,6.8,95,6,SSW,2,,,,,,,
,2015-07-5,1.5,16.6,0,0.7,,,,,6.4,79,0,W,2,,,,,,,
,2015-07-6,1.7,16.1,0,0.8,,,,,7.4,72,0, ,Calm,,,,,,,
,2015-07-7,3.1,14.9,0,1.2,,,,,10.3,74,0,SSW,15,,,,,,,
,2015-07-8,4.8,15.7,0.3,0.6,,,,,9.9,79,2,WSW,11,,,,,,,
,2015-07-9,3.9,16.4,0,0.8,,,,,6.9,100,0, ,Calm,,,,,,,
,2015-07-10,3.9,13.0,0,0.8,,,,,7.9,97,4,NW,6,,,,,,,
,2015-07-11,4.5,18.7,2.0,1.0,,,,,7.6,99,0,W,7,,,,,,,
,2015-07-12,6.6,13.8,7.1,1.5,,,,,9.6,69,7,NW,11,,,,,,,
,2015-07-13,6.4,15.8,5.0,2.3,,,,,8.2,93,8,WNW,20,,,,,,,
,2015-07-14,7.2,16.2,0,2.0,,,,,10.9,70,0,WSW,11,,,,,,,
,2015-07-15,3.2,15.7,0,1.0,,,,,8.4,72,0,NNW,13,,,,,,,
,2015-07-16,6.5,12.3,0.2,1.2,,,,,9.7,80,8,SW,20,,,,,,,
,2015-07-17,5.8,13.5,12.4,1.0,,,,,7.2,94,8,WSW,35,,,,,,,
,2015-07-18,4.0,14.3,0.8,1.2,,,,,11.0,58,1,SW,11,,,,,,,
,2015-07-19,6.5,16.6,0.2,1.4,,,,,11.5,70,7,SSW,15,,,,,,,
,2015-07-20,6.1,17.2,0,1.2,,,,,9.5,83,2,WSW,20,,,,,,,
,2015-07-21,4.4,18.1,0,1.3,,,,,8.4,95,0,SW,9,,,,,,,
,2015-07-22,7.2,16.9,0,1.1,,,,,9.8,92,8,NE,9,,,,,,,
,2015-07-23,9.6,17.6,2.8,0.6,,,,,11.4,99,8,SSW,4,,,,,,,
,2015-07-24,9.8,19.2,0,0.7,,,,,12.1,97,8,WNW,7,,,,,,,
,2015-07-25,9.0,20.0,0,1.2,,,,,15.8,60,0,NNE,7,,,,,,,
,2015-07-26,10.8,19.6,0,1.8,,,,,13.5,54,1,NE,15,,,,,,,
,2015-07-27,2.9,14.6,0,3.4,,,,,9.4,60,0,WNW,7,,,,,,,
,2015-07-28,2.6,17.2,0,1.7,,,,,8.9,68,0,W,9,,,,,,,
,2015-07-29,3.8,17.4,0,1.0,,,,,8.2,81,0,WSW,11,,,,,,,
,2015-07-30,5.2,19.8,0,1.4,,,,,9.1,85,3,NNW,15,,,,,,,
,2015-07-31,8.8,19.5,0,2.0,,,,,13.3,61,1,N,13,,,,,,,
