,"Date","Minimum temperature (?C)","Maximum temperature (?C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (?C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (?C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-06-1,7.8,14.4,0,0.6,,,,,11.2,56,7,SSW,30,,,,,,,
,2015-06-2,2.3,15.2,0,1.8,,,,,10.0,60,0,SW,13,,,,,,,
,2015-06-3,3.8,16.9,0,1.3,,,,,8.9,74,0,WNW,11,,,,,,,
,2015-06-4,3.1,17.4,0,1.0,,,,,6.8,99,0,SW,2,,,,,,,
,2015-06-5,5.3,15.4,1.0,0.8,,,,,8.8,95,8,W,4,,,,,,,
,2015-06-6,7.3,19.1,0,1.0,,,,,9.4,86,1,SW,6,,,,,,,
,2015-06-7,5.8,20.7,0,1.2,,,,,9.0,97,0,WSW,9,,,,,,,
,2015-06-8,8.6,21.7,0,1.0,,,,,14.1,78,2,WSW,7,,,,,,,
,2015-06-9,9.7,21.9,0,1.8,,,,,17.7,57,7,NNW,6,,,,,,,
,2015-06-10,7.5,14.7,0,1.3,,,,,10.9,87,8,SSW,2,,,,,,,
,2015-06-11,9.4,17.3,0,0.4,,,,,12.9,79,8,WSW,4,,,,,,,
,2015-06-12,10.5,18.0,0,0.6,,,,,12.7,88,8,SW,2,,,,,,,
,2015-06-13,9.5,18.6,0,0.7,,,,,11.9,89,7,WSW,7,,,,,,,
,2015-06-14,6.5,18.7,0,1.1,,,,,9.6,97,4,W,7,,,,,,,
,2015-06-15,8.6,17.0,0,0.6,,,,,12.3,87,8,W,15,,,,,,,
,2015-06-16,12.1,15.0,2.2,0.2,,,,,13.4,100,8, ,Calm,,,,,,,
,2015-06-17,12.7,16.8,9.6,0.4,,,,,14.7,97,8,NW,6,,,,,,,
,2015-06-18,7.9,16.6,4.1,0.7,,,,,12.4,89,7,NNE,2,,,,,,,
,2015-06-19,9.6,15.2,41.0,0.2,,,,,10.5,90,8,SW,15,,,,,,,
,2015-06-20,7.4,14.9,0,1.0,,,,,10.2,72,1,SW,17,,,,,,,
,2015-06-21,6.3,15.0,0,1.0,,,,,8.8,88,5,NW,4,,,,,,,
,2015-06-22,4.2,17.0,0,0.5,,,,,6.8,100,6, ,Calm,,,,,,,
,2015-06-23,5.6,19.2,0,1.1,,,,,8.7,90,1,W,2,,,,,,,
,2015-06-24,8.6,19.3,0,0.7,,,,,11.4,87,6, ,Calm,,,,,,,
,2015-06-25,10.0,19.2,0,1.1,,,,,14.0,79,7,SW,4,,,,,,,
,2015-06-26,8.2,17.6,2.2,0.8,,,,,11.8,81,0,SSW,4,,,,,,,
,2015-06-27,5.0,18.6,0,1.2,,,,,9.5,93,0, ,Calm,,,,,,,
,2015-06-28,4.7,17.0,0,1.0,,,,,8.2,84,0,W,4,,,,,,,
,2015-06-29,6.0,18.5,0,0.5,,,,,10.2,87,7,SW,4,,,,,,,
,2015-06-30,5.5,17.7,0,0.8,,,,,8.2,97,8, ,Calm,,,,,,,
