,"Date","Minimum temperature (?C)","Maximum temperature (?C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (?C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (?C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-03-1,17.9,29.5,0,4.0,,,,,21.8,91,7, ,Calm,,,,,,,
,2016-03-2,17.0,31.5,0.8,2.8,,,,,21.8,86,7, ,Calm,,,,,,,
,2016-03-3,19.2,34.0,0,4.0,,,,,23.0,87,3, ,Calm,,,,,,,
,2016-03-4,19.6,31.0,0,5.4,,,,,24.0,79,4, ,Calm,,,,,,,
,2016-03-5,17.0,32.5,0,5.4,,,,,23.0,83,1, ,Calm,,,,,,,
,2016-03-6,16.5,31.0,0,5.0,,,,,20.0,95,1, ,Calm,,,,,,,
,2016-03-7,18.5,32.9,0,6.2,,,,,21.8,93,6, ,Calm,,,,,,,
,2016-03-8,17.0,30.5,0,5.0,,,,,24.0,76,2, ,Calm,,,,,,,
,2016-03-9,20.0,34.9,0,5.5,,,,,25.1,82,2, ,Calm,,,,,,,
,2016-03-10,20.7,31.0,0,5.4,,,,,24.7,82,2,W,4,,,,,,,
,2016-03-11,22.2,31.1,0,4.8,,,,,23.8,86,8, ,Calm,,,,,,,
,2016-03-12,19.4,33.5,0.4,2.4,,,,,23.0,87,2, ,Calm,,,,,,,
,2016-03-13,19.0,31.0,0,5.6,,,,,24.0,79,2, ,Calm,,,,,,,
,2016-03-14,20.0,33.0,0,4.6,,,,,23.0,87,8, ,Calm,,,,,,,
,2016-03-15,20.0,25.5,0.2,3.8,,,,,21.5,86,8,SW,11,,,,,,,
,2016-03-16,18.0,27.0,7.2,3.2,,,,,18.8,100,8, ,Calm,,,,,,,
,2016-03-17,17.5,28.0,9.4,4.1,,,,,21.9,86,4, ,Calm,,,,,,,
,2016-03-18,17.0,27.6,0,3.0,,,,,22.0,82,4,NE,28,,,,,,,
,2016-03-19,11.7,24.2,4.0,2.7,,,,,18.2,53,0,W,7,,,,,,,
,2016-03-20,16.3,23.4,0,4.7,,,,,17.4,65,7,W,2,,,,,,,
,2016-03-21,14.7,22.0,4.7,3.6,,,,,16.2,89,7,S,2,,,,,,,
,2016-03-22,15.4,24.0,0,2.1,,,,,17.8,73,0,SSW,19,,,,,,,
,2016-03-23,14.2,27.5,0,3.0,,,,,19.5,69,0,WSW,4,,,,,,,
,2016-03-24,14.0,30.0,0,3.5,,,,,20.5,73,2, ,Calm,,,,,,,
,2016-03-25,15.4,26.0,0,4.2,,,,,18.4,82,8, ,Calm,,,,,,,
,2016-03-26,14.9,29.4,0,1.2,,,,,19.5,83,3, ,Calm,,,,,,,
,2016-03-27,16.5,25.8,0,3.6,,,,,20.7,88,1, ,Calm,,,,,,,
,2016-03-28,17.5,26.4,0,3.6,,,,,20.8,83,7, ,Calm,,,,,,,
,2016-03-29,18.5,24.2,0,2.5,,,,,20.7,75,8,NE,6,,,,,,,
,2016-03-30,17.1,28.1,7.4,0.9,,,,,19.5,88,2,N,4,,,,,,,
,2016-03-31,12.9,26.8,0,3.6,,,,,19.4,62,0,WSW,26,,,,,,,
