,"Date","Minimum temperature (?C)","Maximum temperature (?C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (?C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (?C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-05-1,12.8,21.8,11.8,1.0,,,,,15.7,97,8,S,7,,,,,,,
,2015-05-2,14.9,22.0,8.0,0.4,,,,,17.2,96,7,W,4,,,,,,,
,2015-05-3,17.0,23.5,28.2,3.8,,,,,18.8,92,8,SW,4,,,,,,,
,2015-05-4,16.4,22.2,0,0.9,,,,,18.6,77,8, ,Calm,,,,,,,
,2015-05-5,14.2,26.8,0,1.0,,,,,18.0,84,3, ,Calm,,,,,,,
,2015-05-6,9.6,19.9,0,3.7,,,,,14.5,45,0,SW,15,,,,,,,
,2015-05-7,7.0,20.0,0,1.9,,,,,12.4,71,1,SW,7,,,,,,,
,2015-05-8,6.2,19.7,0,2.2,,,,,12.9,62,0,NW,4,,,,,,,
,2015-05-9,6.9,20.6,0,1.1,,,,,12.6,69,1,W,2,,,,,,,
,2015-05-10,8.2,20.6,0,1.9,,,,,16.3,52,1,NE,2,,,,,,,
,2015-05-11,13.2,21.3,0,3.1,,,,,15.6,65,1,W,11,,,,,,,
,2015-05-12,9.6,21.3,0,2.0,,,,,15.7,62,0,N,4,,,,,,,
,2015-05-13,11.2,,0,2.3,,,,,13.3,57,0,SW,15,,,,,,,
,2015-05-14,,,1.1,,,,,,,,,,,,,,,,,
,2015-05-15,,20.2,0,,,,,,15.4,61,0,SSW,17,,,,,,,
,2015-05-16,12.3,20.2,0,2.0,,,,,14.9,76,1,SW,17,,,,,,,
,2015-05-17,8.8,19.8,0,2.1,,,,,14.1,79,5,WSW,9,,,,,,,
,2015-05-18,8.8,19.1,0,0.8,,,,,12.1,94,8,WSW,7,,,,,,,
,2015-05-19,11.8,19.2,0,0.4,,,,,13.9,100,8, ,Calm,,,,,,,
,2015-05-20,13.9,23.6,1.8,0.8,,,,,16.9,81,6,ENE,6,,,,,,,
,2015-05-21,10.7,21.4,0,1.2,,,,,16.2,77,0,W,2,,,,,,,
,2015-05-22,12.5,16.8,3.3,2.1,,,,,12.9,97,8,SW,6,,,,,,,
,2015-05-23,10.5,19.0,13.2,2.0,,,,,13.9,63,2,WSW,9,,,,,,,
,2015-05-24,7.0,18.7,0.2,2.0,,,,,11.3,84,2,SW,7,,,,,,,
,2015-05-25,6.5,17.1,0,1.1,,,,,10.3,86,7,WNW,2,,,,,,,
,2015-05-26,5.4,18.1,0,0.6,,,,,9.0,87,3,WSW,4,,,,,,,
,2015-05-27,7.2,20.1,0,1.4,,,,,12.4,81,3,W,2,,,,,,,
,2015-05-28,8.2,21.5,0,0.7,,,,,13.4,86,0,W,2,,,,,,,
,2015-05-29,13.1,,0,0.8,,,,,17.2,78,8,SSW,4,,,,,,,
,2015-05-30,8.3,16.6,0,0.8,,,,,12.0,94,8,SW,2,,,,,,,
,2015-05-31,8.8,14.0,0.6,0.6,,,,,10.2,97,8,NE,2,,,,,,,
