,"Date","Minimum temperature (?C)","Maximum temperature (?C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (?C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (?C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-11-1,13.6,32.2,0.4,3.0,,,,,20.6,75,1,NE,13,,,,,,,
,2015-11-2,17.4,31.8,10.9,6.2,,,,,22.6,76,1,W,4,,,,,,,
,2015-11-3,18.3,19.2,0,5.8,,,,,18.6,86,8,W,4,,,,,,,
,2015-11-4,16.3,19.0,3.6,1.3,,,,,18.0,97,8,SW,4,,,,,,,
,2015-11-5,15.7,21.9,17.6,1.2,,,,,16.9,99,8,NNE,15,,,,,,,
,2015-11-6,17.9,29.5,16.0,1.8,,,,,20.9,91,3,W,4,,,,,,,
,2015-11-7,15.8,26.9,0.5,1.5,,,,,23.0,71,6,WSW,7,,,,,,,
,2015-11-8,15.4,21.1,0,5.2,,,,,18.0,65,7,S,7,,,,,,,
,2015-11-9,11.3,26.2,0,2.4,,,,,18.2,71,3,SW,4,,,,,,,
,2015-11-10,12.2,30.2,0,4.6,,,,,18.7,77,1, ,Calm,,,,,,,
,2015-11-11,18.2,23.3,0,6.6,,,,,20.7,75,8,S,11,,,,,,,
,2015-11-12,15.7,26.7,0.3,2.3,,,,,21.5,69,6,N,4,,,,,,,
,2015-11-13,15.5,29.3,4.6,2.6,,,,,20.0,86,2, ,Calm,,,,,,,
,2015-11-14,17.0,19.8,34.2,5.6,,,,,17.6,84,8,SSW,15,,,,,,,
,2015-11-15,14.5,20.7,17.2,6.0,,,,,17.0,77,8,SW,19,,,,,,,
,2015-11-16,11.5,24.4,0.9,2.9,,,,,17.5,71,0,SSW,17,,,,,,,
,2015-11-17,10.9,29.0,0,5.0,,,,,18.4,75,0,SSW,9,,,,,,,
,2015-11-18,15.4,35.2,0,5.3,,,,,24.6,51,0,SW,7,,,,,,,
,2015-11-19,15.6,38.5,0,6.7,,,,,21.2,77,3,SSW,9,,,,,,,
,2015-11-20,19.6,40.2,0,5.7,,,,,26.1,68,0,SW,4,,,,,,,
,2015-11-21,18.8,22.8,0,9.3,,,,,20.8,74,8,SW,7,,,,,,,
,2015-11-22,15.8,22.2,0,4.5,,,,,18.9,73,8,NE,15,,,,,,,
,2015-11-23,14.0,28.1,0,1.8,,,,,22.0,70,0,SW,6,,,,,,,
,2015-11-24,16.4,29.4,0,5.3,,,,,21.6,72,6,SW,4,,,,,,,
,2015-11-25,14.4,35.2,0,5.6,,,,,19.9,82,0,SW,2,,,,,,,
,2015-11-26,19.6,36.3,0,8.0,,,,,32.0,38,0,NNW,19,,,,,,,
,2015-11-27,14.4,23.8,0,10.0,,,,,19.6,68,4,S,4,,,,,,,
,2015-11-28,16.6,24.0,0,4.2,,,,,20.3,79,8,NE,6,,,,,,,
,2015-11-29,19.1,29.3,0.2,2.2,,,,,21.6,82,8,SW,4,,,,,,,
,2015-11-30,15.5,30.3,0,3.8,,,,,21.3,74,4,NE,7,,,,,,,
