,"Date","Minimum temperature (?C)","Maximum temperature (?C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (?C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (?C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-10-1,12.6,28.8,0,2.4,,,,,21.1,66,3,SW,2,,,,,,,
,2015-10-2,13.2,25.0,0,3.8,,,,,20.0,70,1, ,Calm,,,,,,,
,2015-10-3,11.5,33.2,0,7.0,,,,,20.2,66,0,W,4,,,,,,,
,2015-10-4,18.3,33.3,0,7.4,,,,,25.4,36,8,NE,15,,,,,,,
,2015-10-5,12.8,37.1,0,4.8,,,,,19.6,64,1,SSE,4,,,,,,,
,2015-10-6,15.1,37.5,0,5.1,,,,,21.1,68,0,S,2,,,,,,,
,2015-10-7,16.2,19.6,0,6.8,,,,,19.0,75,8,SSW,37,,,,,,,
,2015-10-8,14.0,20.2,0,2.4,,,,,17.2,68,8,S,2,,,,,,,
,2015-10-9,15.0,26.4,0,2.0,,,,,19.0,61,1,N,7,,,,,,,
,2015-10-10,13.2,28.1,0,4.0,,,,,18.1,81,0,W,6,,,,,,,
,2015-10-11,11.5,28.0,0,4.1,,,,,16.9,86,6,S,7,,,,,,,
,2015-10-12,14.3,31.7,3.4,3.0,,,,,20.1,68,1,NW,15,,,,,,,
,2015-10-13,16.8,20.2,0,5.3,,,,,17.8,82,8,SW,20,,,,,,,
,2015-10-14,14.3,25.4,5.8,1.8,,,,,19.0,88,2,SSW,13,,,,,,,
,2015-10-15,14.1,30.6,0,3.3,,,,,20.0,74,1,SW,13,,,,,,,
,2015-10-16,14.6,34.2,0,4.3,,,,,19.0,88,0,S,15,,,,,,,
,2015-10-17,17.4,27.7,0,5.6,,,,,22.0,68,6, ,Calm,,,,,,,
,2015-10-18,18.2,22.5,1.4,4.1,,,,,18.8,77,8,NW,9,,,,,,,
,2015-10-19,17.6,28.7,0,2.6,,,,,19.2,88,8,W,2,,,,,,,
,2015-10-20,16.0,33.0,0,4.6,,,,,20.9,55,0,SSE,7,,,,,,,
,2015-10-21,17.4,27.8,6.6,6.3,,,,,25.7,58,3,WNW,9,,,,,,,
,2015-10-22,17.1,23.0,1.4,1.4,,,,,19.6,87,8,NE,11,,,,,,,
,2015-10-23,13.6,21.0,6.1,2.6,,,,,,,,,,,,,,,,
,2015-10-24,9.8,25.4,0,2.7,,,,,16.6,77,3,SSW,2,,,,,,,
,2015-10-25,12.2,29.4,0,4.7,,,,,18.3,80,2,WSW,2,,,,,,,
,2015-10-26,14.2,25.4,0,4.0,,,,,23.8,59,5,SSW,11,,,,,,,
,2015-10-27,13.7,18.9,14.3,3.1,,,,,14.9,84,8,S,9,,,,,,,
,2015-10-28,11.8,21.2,0,2.5,,,,,15.1,81,8,SW,6,,,,,,,
,2015-10-29,11.8,24.7,0,3.0,,,,,17.2,69,4,SSW,4,,,,,,,
,2015-10-30,10.0,25.3,0,4.8,,,,,18.0,70,1,SW,4,,,,,,,
,2015-10-31,13.2,26.4,0,3.7,,,,,19.1,76,6,SSW,13,,,,,,,
