,"Date","Minimum temperature (?C)","Maximum temperature (?C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (?C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (?C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-09-1,4.9,20.1,0,2.7,,,,,11.7,68,0,W,9,,,,,,,
,2015-09-2,4.4,20.2,0,2.6,,,,,10.3,81,7,SW,2,,,,,,,
,2015-09-3,7.8,19.5,1.8,1.7,,,,,11.9,95,0,W,4,,,,,,,
,2015-09-4,11.7,19.5,0.3,3.3,,,,,15.7,66,8,SW,26,,,,,,,
,2015-09-5,8.0,21.9,0,2.0,,,,,13.5,82,0,SSW,13,,,,,,,
,2015-09-6,11.3,15.2,0,2.6,,,,,13.8,87,8,W,9,,,,,,,
,2015-09-7,9.2,24.1,0.9,0.9,,,,,12.5,94,0,SW,4,,,,,,,
,2015-09-8,4.9,19.1,0,4.2,,,,,12.9,54,0,W,22,,,,,,,
,2015-09-9,6.4,20.7,0,2.9,,,,,12.5,70,0,W,11,,,,,,,
,2015-09-10,7.2,19.9,0,3.2,,,,,15.9,61,0,SW,9,,,,,,,
,2015-09-11,9.6,23.4,0,2.0,,,,,16.8,66,0,SW,4,,,,,,,
,2015-09-12,7.6,26.0,0,3.5,,,,,17.6,70,1,WSW,7,,,,,,,
,2015-09-13,9.5,26.1,0,3.0,,,,,19.0,67,0,SSW,11,,,,,,,
,2015-09-14,9.9,27.5,0,3.8,,,,,16.1,83,0,SW,6,,,,,,,
,2015-09-15,11.6,29.5,0,3.6,,,,,23.2,43,0,N,19,,,,,,,
,2015-09-16,8.4,22.6,0,5.2,,,,,16.8,57,0,WSW,11,,,,,,,
,2015-09-17,10.1,20.6,0,3.6,,,,,16.8,49,0,SSE,7,,,,,,,
,2015-09-18,11.9,20.2,2.6,3.6,,,,,15.4,69,2,SSW,19,,,,,,,
,2015-09-19,11.5,20.3,6.2,2.9,,,,,14.9,90,7, ,Calm,,,,,,,
,2015-09-20,9.2,19.9,0.6,2.8,,,,,16.7,68,5, ,Calm,,,,,,,
,2015-09-21,10.1,25.2,0,1.9,,,,,12.7,100,8,SW,2,,,,,,,
,2015-09-22,11.2,20.0,0,2.5,,,,,17.3,51,1,WSW,28,,,,,,,
,2015-09-23,8.7,16.9,0,5.5,,,,,12.6,50,2,SSW,46,,,,,,,
,2015-09-24,8.1,16.3,0,4.6,,,,,13.9,56,2,SSW,20,,,,,,,
,2015-09-25,10.7,15.8,0,2.7,,,,,14.3,64,6,SW,4,,,,,,,
,2015-09-26,9.1,19.1,6.3,2.5,,,,,14.0,91,4,WSW,4,,,,,,,
,2015-09-27,11.0,20.1,0,3.3,,,,,16.5,56,6,WSW,19,,,,,,,
,2015-09-28,7.7,22.9,0,2.4,,,,,16.9,60,0,WNW,7,,,,,,,
,2015-09-29,8.4,27.0,0,4.0,,,,,16.2,71,0,SW,4,,,,,,,
,2015-09-30,12.4,21.8,1.6,3.4,,,,,17.8,75,8,WSW,9,,,,,,,
